participant,condition_1,condition_2,condition_3,condition_4,relation_1,relation_2,relation_3,relation_4
1,4,2,1,3,1,4,3,2
2,2,3,4,1,3,1,2,4
3,3,1,2,4,2,3,4,1
4,1,4,3,2,4,2,1,3
5,4,2,1,3,1,4,3,2
6,2,3,4,1,3,1,2,4
7,3,1,2,4,2,3,4,1
8,1,4,3,2,4,2,1,3
9,4,2,1,3,1,4,3,2
10,2,3,4,1,3,1,2,4
11,3,1,2,4,2,3,4,1
12,1,4,3,2,4,2,1,3
13,4,2,1,3,1,4,3,2
14,2,3,4,1,3,1,2,4
15,3,1,2,4,2,3,4,1
16,1,4,3,2,4,2,1,3
17,4,2,1,3,1,4,3,2
18,2,3,4,1,3,1,2,4
19,3,1,2,4,2,3,4,1
20,1,4,3,2,4,2,1,3
21,4,2,1,3,1,4,3,2
22,2,3,4,1,3,1,2,4
23,3,1,2,4,2,3,4,1
24,1,4,3,2,4,2,1,3
25,4,2,1,3,1,4,3,2
