participant,condition_1,condition_2,condition_3,question_1,question_2,question_3,question_4,question_5,question_6
1,1,2,3,1,2,3,4,5,6
2,1,3,2,2,4,1,6,3,5
3,3,1,2,4,6,2,5,1,3
4,3,2,1,6,5,4,3,2,1
5,2,3,1,5,3,6,1,4,2
6,2,1,3,3,1,5,2,6,4
7,1,2,3,1,2,3,4,5,6
8,1,3,2,2,4,1,6,3,5
9,3,1,2,4,6,2,5,1,3
10,3,2,1,6,5,4,3,2,1
11,2,3,1,5,3,6,1,4,2
12,2,1,3,3,1,5,2,6,4
13,1,2,3,1,2,3,4,5,6
14,1,3,2,2,4,1,6,3,5
15,3,1,2,4,6,2,5,1,3
16,3,2,1,6,5,4,3,2,1
17,2,3,1,5,3,6,1,4,2
18,2,1,3,3,1,5,2,6,4
19,1,2,3,1,2,3,4,5,6
20,1,3,2,2,4,1,6,3,5
21,3,1,2,4,6,2,5,1,3
22,3,2,1,6,5,4,3,2,1
23,2,3,1,5,3,6,1,4,2
24,2,1,3,3,1,5,2,6,4
25,1,2,3,1,2,3,4,5,6
26,1,3,2,2,4,1,6,3,5
27,3,1,2,4,6,2,5,1,3
28,3,2,1,6,5,4,3,2,1
29,2,3,1,5,3,6,1,4,2
30,2,1,3,3,1,5,2,6,4
31,1,2,3,1,2,3,4,5,6
32,1,3,2,2,4,1,6,3,5
33,3,1,2,4,6,2,5,1,3
34,3,2,1,6,5,4,3,2,1
35,2,3,1,5,3,6,1,4,2
